12:2025-11-27T01:35:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
177:2026-01-02T03:55:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
186:2026-01-05T02:45:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
187:2026-01-05T09:10:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
188:2026-01-05T14:30:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
197:2026-01-06T15:20:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
205:2026-01-09T07:00:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
206:2026-01-09T07:15:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
211:2026-01-09T19:05:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
216:2026-01-12T19:40:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
219:2026-01-13T08:45:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
228:2026-01-15T08:20:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
240:2026-01-19T08:35:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
241:2026-01-19T19:00:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
244:2026-01-20T08:30:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
245:2026-01-20T08:35:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
247:2026-01-20T16:25:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
248:2026-01-21T02:50:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
251:2026-01-21T09:40:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
261:2026-01-22T09:25:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
271:2026-01-23T14:30:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
275:2026-01-26T01:00:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
276:2026-01-26T01:50:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
277:2026-01-26T02:35:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
278:2026-01-26T03:00:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
281:2026-01-26T09:40:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
283:2026-01-27T01:40:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
284:2026-01-27T03:50:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
293:2026-01-28T02:00:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
294:2026-01-28T02:10:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
300:2026-01-28T20:15:00: LONG filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
308:2026-01-30T02:35:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
310:2026-01-30T07:45:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
311:2026-01-30T08:50:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
312:2026-01-30T09:00:00: SHORT filter sequence: Time -> Trend -> Structure -> HTF POI | Time=PASS Trend=PASS Structure=PASS HTF_POI=FAIL
